"Docente","Componente Curricular","Turma","Horário","Discentes","Média Geral","Desvio Padrão Geral"
"ADA LIMA FERREIRA DE SOUSA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","5","4N34 (11/02/2019 - 29/06/2019)","74","9.8","1.86"
"ADA LIMA FERREIRA DE SOUSA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","6","4N12 (11/02/2019 - 29/06/2019)","83","9.71","1.7"
"ADA LIMA FERREIRA DE SOUSA","ECT2205 - PRÁTICAS DE LEITURA E ESCRITA II","3","2T56 (11/02/2019 - 29/06/2019)","88","9.55","1.76"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","01A","35M34 2T12 (11/02/2019 - 31/03/2019), 35M34 (01/04/2019 - 15/06/2019)","15","9.13","1.9"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","01C","3M3456 5M34 (11/02/2019 - 31/03/2019), 35M34 (01/04/2019 - 15/06/2019)","13","9.48","1.61"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03A","2T56 35N12 (11/02/2019 - 31/03/2019), 35N12 (01/04/2019 - 15/06/2019)","18","9.54","2.03"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03B","4T56 35N12 (11/02/2019 - 31/03/2019), 35N12 (01/04/2019 - 15/06/2019)","16","9.19","1.98"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03C","7M34 35N12 (11/02/2019 - 31/03/2019), 35N12 (01/04/2019 - 15/06/2019)","11","8.99","2.45"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03D","7M56 35N12 (11/02/2019 - 31/03/2019), 35N12 (01/04/2019 - 15/06/2019)","18","9.46","1.86"
"ALEXSANDRO PEREIRA LIMA","ECT2103 - CÁLCULO I","7","35T56 (11/02/2019 - 29/06/2019)","111","9.42","1.84"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","01A","24T56 (11/02/2019 - 10/03/2019), 2T1256 4T56 (11/03/2019 - 27/04/2019), 24T56 (28/04/2019 - 08/06/2019)","10","9.85","1.53"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","01B","24T56 (11/02/2019 - 10/03/2019), 2T3456 4T56 (11/03/2019 - 27/04/2019), 24T56 (28/04/2019 - 08/06/2019)","17","9.59","1.91"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","01C","24T56 (11/02/2019 - 10/03/2019), 5M34 24T56 (11/03/2019 - 27/04/2019), 24T56 (28/04/2019 - 08/06/2019)","13","9.95","1.55"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","01D","24T56 (11/02/2019 - 10/03/2019), 5M56 24T56 (11/03/2019 - 27/04/2019), 24T56 (28/04/2019 - 08/06/2019)","15","9.41","1.76"
"ANDRE BESSA MOREIRA","ECT2307 - FÍSICA EXPERIMENTAL I","06A","5T123 (25/02/2019 - 01/06/2019)","24","9.64","1.64"
"ANDRE BESSA MOREIRA","ECT2403 - FÍSICA EXPERIMENTAL II","01A","2M345 (25/02/2019 - 01/06/2019)","32","9.68","2.17"
"ANDRE BESSA MOREIRA","ECT2403 - FÍSICA EXPERIMENTAL II","05A","6M234 (25/02/2019 - 01/06/2019)","32","9.82","1.32"
"ANDRE BESSA MOREIRA","ECT2403 - FÍSICA EXPERIMENTAL II","08A","5T456 (25/02/2019 - 01/06/2019)","6","9.57","1.24"
"ANGELA LUZIA MIRANDA","ECT2502 - DIMENSÕES FILOSÓFICAS DA TECNOLOGIA MODERNA","1","2M3456 (11/02/2019 - 29/06/2019)","16","9.68","1.46"
"ANGELA LUZIA MIRANDA","ECT1558 - ÉTICA EM CIÊNCIA E TECNOLOGIA","1","5T3456 (11/02/2019 - 29/06/2019)","17","9.69","1.28"
"ANTÔNIO PAULINO DE ARAÚJO NETO","ECT2413 - MECÂNICA DOS FLUIDOS","3","35N34 (11/02/2019 - 29/06/2019)","74","9.65","1.53"
"ANTÔNIO PAULINO DE ARAÚJO NETO","ECT2412 - MECÂNICA DOS SÓLIDOS","2","46T12 (11/02/2019 - 29/06/2019)","85","9.73","1.65"
"AQUILES MEDEIROS FILGUEIRA BURLAMAQUI","ECT2526 - DESENVOLVIMENTO DE SISTEMAS PARA INTERNET","1","5M3456 (11/02/2019 - 29/06/2019)","18","9.53","1.64"
"AQUILES MEDEIROS FILGUEIRA BURLAMAQUI","ECT2701 - INTERNET DAS COISAS","1","5T12 (11/02/2019 - 29/06/2019)","17","9.07","1.99"
"BRUNO MARQUES FERREIRA DA SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","03A","46M34 5T34 (11/02/2019 - 29/06/2019)","18","9.84","1.54"
"BRUNO MARQUES FERREIRA DA SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","03B","46M34 5T56 (11/02/2019 - 29/06/2019)","20","9.45","1.76"
"BRUNO MARQUES FERREIRA DA SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","03C","46M34 5T12 (11/02/2019 - 29/06/2019)","18","9.58","2.13"
"BRUNO MARQUES FERREIRA DA SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","03D","46M34 5T34 (11/02/2019 - 29/06/2019)","16","9.63","2.16"
"BRUNO MARQUES FERREIRA DA SILVA","ECT2540 - PROGRAMAÇÃO ORIENTADA A OBJETOS","01A","24T34 (11/02/2019 - 29/06/2019)","25","9.74","2.05"
"CAMILA PACELLY BRANDÃO DE ARAÚJO","ECT2413 - MECÂNICA DOS FLUIDOS","1","35T12 (11/02/2019 - 29/06/2019)","111","9.63","1.56"
"CAMILA PACELLY BRANDÃO DE ARAÚJO","ECT2413 - MECÂNICA DOS FLUIDOS","2","35T34 (11/02/2019 - 29/06/2019)","88","9.65","1.84"
"CARLOS ALBERTO OLARTE VEGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","01C","46M12 6T34 (11/02/2019 - 29/06/2019)","12","9.61","2.05"
"CARLOS ALBERTO OLARTE VEGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","03A","46M34 5T34 (11/02/2019 - 29/06/2019)","18","9.93","1.32"
"CARLOS ALBERTO OLARTE VEGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","03B","46M34 5T56 (11/02/2019 - 29/06/2019)","20","9.41","1.53"
"CARLOS ALEXANDRE CAMARGO DE ABREU","ECT2206 - GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","2","35T12 (11/02/2019 - 29/06/2019)","90","8.35","2.85"
"CARLOS ALEXANDRE CAMARGO DE ABREU","ECT1503 - MATEMÁTICA FINANCEIRA","1","35T34 (11/02/2019 - 29/06/2019)","44","9.07","2.19"
"CARLOS EDUARDO PELLICER DE OLIVEIRA","ECT2201 - CÁLCULO II","3","35T12 (11/02/2019 - 29/06/2019)","53","9.23","2.65"
"CARLOS EDUARDO PELLICER DE OLIVEIRA","ECT2201 - CÁLCULO II","5","35N12 (11/02/2019 - 29/06/2019)","27","9.16","2.63"
"DANIEL NELSON MACIEL","ECT2412 - MECÂNICA DOS SÓLIDOS","3","46M34 (11/02/2019 - 29/06/2019)","57","9.66","1.83"
"DANIEL NELSON MACIEL","ECT2412 - MECÂNICA DOS SÓLIDOS","4","46N12 (11/02/2019 - 29/06/2019)","56","9.02","2.17"
"DARLAN ARAUJO MOREIRA","ECT2301 - CÁLCULO III","4","46N12 (11/02/2019 - 29/06/2019)","96","9.6","2.02"
"DARLAN ARAUJO MOREIRA","ECT2301 - CÁLCULO III","5","46N34 (11/02/2019 - 29/06/2019)","59","9.84","1.4"
"DEBORA MACHADO DE OLIVEIRA MEDINA","ECT2416 - EXPRESSÃO GRÁFICA","01B","46M56 (11/02/2019 - 12/05/2019), 36T34 (13/05/2019 - 29/06/2019)","34","9.84","1.43"
"DEBORA MACHADO DE OLIVEIRA MEDINA","ECT2416 - EXPRESSÃO GRÁFICA","01C","46M56 (11/02/2019 - 12/05/2019), 36T12 (13/05/2019 - 29/06/2019)","33","9.86","1.45"
"DEBORA MACHADO DE OLIVEIRA MEDINA","ECT2416 - EXPRESSÃO GRÁFICA","03A","2N1234 (11/02/2019 - 29/06/2019)","38","9.68","1.71"
"DEBORA MACHADO DE OLIVEIRA MEDINA","ECT2416 - EXPRESSÃO GRÁFICA","03B","2N1234 (11/02/2019 - 12/05/2019), 24T56 (13/05/2019 - 29/06/2019)","35","9.63","1.64"
"DEUSDEDIT MONTEIRO MEDEIROS","ECT2202 - ÁLGEBRA LINEAR","3","46T12 (11/02/2019 - 29/06/2019)","31","8.77","2.52"
"DIEGO RODRIGO CABRAL SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","01A","46M12 4T12 (11/02/2019 - 29/06/2019)","31","8.97","2.45"
"DIEGO RODRIGO CABRAL SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","01B","46M12 4T34 (11/02/2019 - 29/06/2019)","18","9.2","2.28"
"DIEGO RODRIGO CABRAL SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","01C","46M12 6T34 (11/02/2019 - 29/06/2019)","12","9.25","2.41"
"DIEGO RODRIGO CABRAL SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","01D","46M12 6T56 (11/02/2019 - 29/06/2019)","7","8.53","3.29"
"EDNA MARIA RANGEL DE SA","ECT2608 - METODOLOGIA DA PESQUISA PARA O TRABALHO DE CONCLUSÃO DE CURSO EM CIÊNCIAS E TECNOLOGIA","1","5T56 (11/02/2019 - 29/06/2019)","43","9.76","1.39"
"EDNA MARIA RANGEL DE SA","ECT1530 - PRÁTICAS DE LEITURA E ESCRITA DE GÊNEROS ACADÊMICOS","1","24T56 (11/02/2019 - 29/06/2019)","23","9.86","1.36"
"EDNA MARIA RANGEL DE SA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","1","4M56 (11/02/2019 - 29/06/2019)","96","9.35","2.48"
"EDNA MARIA RANGEL DE SA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","3","4M34 (11/02/2019 - 29/06/2019)","111","9.59","2.06"
"EFRAIN PANTALEON MATAMOROS","ECT1553 - EMPREENDEDORISMO, NEGÓCIOS E GESTÃO DE PROJETOS INOVADORES","1","5N1234 (11/02/2019 - 29/06/2019)","45","9.48","1.63"
"EFRAIN PANTALEON MATAMOROS","ECT2206 - GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","1","35T12 (11/02/2019 - 29/06/2019)","85","9.36","1.97"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","04B","3T56 36N12 (11/02/2019 - 29/06/2019)","25","7.81","2.94"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","04C","6T56 36N12 (11/02/2019 - 29/06/2019)","22","8.25","2.78"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","04D","7T34 36N12 (11/02/2019 - 29/06/2019)","12","8.32","2.4"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","04E","7T12 36N12 (11/02/2019 - 29/06/2019)","8","9.25","1.69"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","05A","4T56 36N12 (11/02/2019 - 29/06/2019)","24","8.77","2.29"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","05B","7M34 36N12 (11/02/2019 - 29/06/2019)","21","8.56","3.23"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","05C","7M34 36N12 (11/02/2019 - 29/06/2019)","24","8.69","2.47"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","05D","7T34 36N12 (11/02/2019 - 29/06/2019)","8","9.67","2.13"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","05E","7M12 36N12 (11/02/2019 - 29/06/2019)","23","7.72","2.87"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","06A","5T56 36N34 (11/02/2019 - 29/06/2019)","21","9.66","1.87"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","06B","7M56 36N34 (11/02/2019 - 29/06/2019)","21","9.63","1.97"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","06C","7T12 36N34 (11/02/2019 - 29/06/2019)","18","9.49","1.28"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","06D","7M56 36N34 (11/02/2019 - 29/06/2019)","24","9.15","2.21"
"ELISAMA VIEIRA DOS SANTOS","ECT2104 - QUÍMICA GERAL","06E","7M12 36N34 (11/02/2019 - 29/06/2019)","11","7.58","2.73"
"ELTON JOSE FIGUEIREDO DE CARVALHO","ECT2103 - CÁLCULO I","2","2356M34 (22/04/2019 - 29/06/2019)","127","9.07","2.56"
"ELTON JOSE FIGUEIREDO DE CARVALHO","ECT2103 - CÁLCULO I","3","2356M56 (22/04/2019 - 29/06/2019)","113","9.04","2.72"
"EMANUELE ORAZI","ECT2415 - EQUAÇÕES DIFERENCIAIS","1","35T56 (11/02/2019 - 29/06/2019)","24","9.32","2.02"
"EMANUELE ORAZI","ECT2415 - EQUAÇÕES DIFERENCIAIS","2","35N12 (11/02/2019 - 29/06/2019)","12","9.28","2.1"
"EVERTON SANTI","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","01C","46M12 6T34 (11/02/2019 - 29/06/2019)","12","9.5","2.07"
"EVERTON SANTI","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","01D","46M12 6T56 (11/02/2019 - 29/06/2019)","7","8.38","3.59"
"EVERTON SANTI","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04A","3T34 46N34 (11/02/2019 - 29/06/2019)","23","9.75","1.37"
"EVERTON SANTI","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04B","3T56 46N34 (11/02/2019 - 29/06/2019)","29","9.64","1.8"
"FABIANA TRISTAO DE SANTANA","ECT2102 - VETORES E GEOMETRIA ANALÍTICA","2","25M56 (11/02/2019 - 29/06/2019)","132","9.83","2.12"
"FABIANA TRISTAO DE SANTANA","ECT2102 - VETORES E GEOMETRIA ANALÍTICA","3","25M34 (11/02/2019 - 29/06/2019)","117","9.82","1.94"
"FABIO JOSE PINHEIRO SOUSA","ECT2416 - EXPRESSÃO GRÁFICA","04A","4N1234 (11/02/2019 - 29/06/2019)","24","9.62","1.66"
"FELIPE MACEDO ZUMBA","ECT2605 - ARRANJOS PRODUTIVOS TECNOLÓGICOS","01A","35T12 (11/02/2019 - 29/06/2019)","47","9.84","1.21"
"FELIPE MACEDO ZUMBA","ECT2512 - FUNDAMENTOS DE PROPRIEDADE INTELECTUAL E TRANSFERÊNCIA DE TECNOLOGIA","1","46M56 (11/02/2019 - 29/06/2019)","17","9.89","0.51"
"FELIPE MACEDO ZUMBA","ECT2206 - GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","3","35T34 (11/02/2019 - 29/06/2019)","84","9.7","1.86"
"FELIPE MACEDO ZUMBA","ECT2206 - GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","4","35N34 (11/02/2019 - 29/06/2019)","87","9.62","1.94"
"FELIPE MACEDO ZUMBA","ECT2206 - GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","5","35N12 (11/02/2019 - 29/06/2019)","81","9.5","1.92"
"FELIPE MACEDO ZUMBA","ECT2517 - MODELAGEM DE RISCO","1","35T56 (11/02/2019 - 29/06/2019)","26","9.73","1.38"
"FILIPE MARTEL DE MAGALHAES BORGES","ECT2104 - QUÍMICA GERAL","03A","36M34 3T12 (11/02/2019 - 29/06/2019)","25","9.84","1.56"
"FILIPE MARTEL DE MAGALHAES BORGES","ECT2104 - QUÍMICA GERAL","03B","36M34 3T34 (11/02/2019 - 29/06/2019)","24","9.81","1.96"
"FILIPE MARTEL DE MAGALHAES BORGES","ECT2104 - QUÍMICA GERAL","03C","3M34 6M1234 (11/02/2019 - 29/06/2019)","21","9.72","1.99"
"FILIPE MARTEL DE MAGALHAES BORGES","ECT2104 - QUÍMICA GERAL","03D","36M34 6T12 (11/02/2019 - 29/06/2019)","22","9.72","1.92"
"FILIPE MARTEL DE MAGALHAES BORGES","ECT2104 - QUÍMICA GERAL","03E","36M34 6T34 (11/02/2019 - 29/06/2019)","24","9.73","1.74"
"FRANCISCO EDSON DA SILVA","ECT2101 - PRÉ-CÁLCULO","1","2356M34 (11/02/2019 - 19/04/2019)","100","9.49","2.23"
"FRANCISCO EDSON DA SILVA","ECT2101 - PRÉ-CÁLCULO","8","24M56 (11/02/2019 - 29/06/2019)","73","9.39","1.95"
"FRANCISCO JOSE TARGINO VIDAL","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02A","46M34 4T34 (11/02/2019 - 29/06/2019)","29","9.07","2.42"
"FRANCISCO JOSE TARGINO VIDAL","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02B","46M34 4T56 (11/02/2019 - 29/06/2019)","14","8.99","2.53"
"FRANCISCO JOSE TARGINO VIDAL","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02C","46M34 5T34 (11/02/2019 - 29/06/2019)","8","9.79","2.21"
"FRANCISCO JOSE TARGINO VIDAL","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02D","46M34 5T56 (11/02/2019 - 29/06/2019)","12","9.47","1.99"
"GLAUCIO BEZERRA BRANDAO","ECT2302 - METODOLOGIA CIENTÍFICA E TECNOLÓGICA","2","5M12 (11/02/2019 - 29/06/2019)","39","9.19","2.15"
"GLAUCIO BEZERRA BRANDAO","ECT2302 - METODOLOGIA CIENTÍFICA E TECNOLÓGICA","4","2N34 (11/02/2019 - 29/06/2019)","62","8.82","2.11"
"GLAUCIO BEZERRA BRANDAO","ECT2602 - PRÁTICAS DE STARTUP TECNOLÓGICA 2","01A","35M34 (11/02/2019 - 29/06/2019)","8","9.62","1.64"
"GLICIA MARILI AZEVEDO DE MEDEIROS TINOCO","ECT2205 - PRÁTICAS DE LEITURA E ESCRITA II","1","2M56 (11/02/2019 - 29/06/2019)","99","9.16","2.57"
"GLICIA MARILI AZEVEDO DE MEDEIROS TINOCO","ECT2205 - PRÁTICAS DE LEITURA E ESCRITA II","5","2N12 (11/02/2019 - 29/06/2019)","69","9.3","1.98"
"GRACILENE FELIX MEDEIROS","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","2","4M56 (11/02/2019 - 29/06/2019)","114","9.57","2.34"
"GRACILENE FELIX MEDEIROS","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","4","4N34 (11/02/2019 - 29/06/2019)","53","9.64","2.08"
"GRACILENE FELIX MEDEIROS","ECT2205 - PRÁTICAS DE LEITURA E ESCRITA II","2","2T56 (11/02/2019 - 29/06/2019)","116","9.56","2.01"
"GRACILENE FELIX MEDEIROS","ECT2205 - PRÁTICAS DE LEITURA E ESCRITA II","4","2N12 (11/02/2019 - 29/06/2019)","76","9.55","1.85"
"GUSTAVO ZAMPIER DOS SANTOS LIMA","ECT2207 - PROBABILIDADE E ESTATÍSTICA","2","46T56 (11/02/2019 - 29/06/2019)","124","9.48","2.05"
"HECTOR LENY CARRION SALAZAR","ECT2201 - CÁLCULO II","1","35T56 (11/02/2019 - 29/06/2019)","72","9.32","2.13"
"HELTON MAIA PEIXOTO","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02A","46M34 4T34 (11/02/2019 - 29/06/2019)","29","9.46","2.1"
"HELTON MAIA PEIXOTO","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02B","46M34 4T56 (11/02/2019 - 29/06/2019)","14","9.71","1.83"
"HELTON MAIA PEIXOTO","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02C","46M34 5T34 (11/02/2019 - 29/06/2019)","8","9.68","2.22"
"HELTON MAIA PEIXOTO","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02D","46M34 5T56 (11/02/2019 - 29/06/2019)","12","9.84","1.59"
"HELTON MAIA PEIXOTO","ECT2703 - TÓPICOS AVANÇADOS EM INFORMÁTICA II","01A","46M56 (11/02/2019 - 29/06/2019)","14","9.87","1.51"
"HERCULANA TORRES DOS SANTOS","ECT1566 - GESTÃO DO CONHECIMENTO","1","24M34 (11/02/2019 - 29/06/2019)","39","9.75","1.06"
"HERCULANA TORRES DOS SANTOS","ECT2302 - METODOLOGIA CIENTÍFICA E TECNOLÓGICA","1","3M12 (11/02/2019 - 29/06/2019)","80","9.55","2.2"
"HERCULANA TORRES DOS SANTOS","ECT2302 - METODOLOGIA CIENTÍFICA E TECNOLÓGICA","3","3M34 (11/02/2019 - 29/06/2019)","103","9.52","2.13"
"HERCULANA TORRES DOS SANTOS","ECT2302 - METODOLOGIA CIENTÍFICA E TECNOLÓGICA","5","2N34 (11/02/2019 - 29/06/2019)","64","9.45","1.9"
"IDALMIS MILIAN SARDINA MARTINS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","03A","4M34 46T34 (11/02/2019 - 15/06/2019)","12","6.52","3.75"
"IDALMIS MILIAN SARDINA MARTINS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","03C","4M56 46T34 (11/02/2019 - 15/06/2019)","13","4.75","3.89"
"IDALMIS MILIAN SARDINA MARTINS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","03D","4M56 46T34 (11/02/2019 - 15/06/2019)","9","5.78","3.39"
"IGOR ROSBERG DE MEDEIROS SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04B","3T56 46N34 (11/02/2019 - 29/06/2019)","29","9.61","1.79"
"IGOR ROSBERG DE MEDEIROS SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","05A","2T34 46N12 (11/02/2019 - 29/06/2019)","27","9.21","1.96"
"IGOR ROSBERG DE MEDEIROS SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","05B","2T56 46N12 (11/02/2019 - 29/06/2019)","31","9.27","2.23"
"IGOR ROSBERG DE MEDEIROS SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","05C","7T56 46N12 (11/02/2019 - 29/06/2019)","11","9.48","1.92"
"IGOR ROSBERG DE MEDEIROS SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","05D","7T12 46N12 (11/02/2019 - 29/06/2019)","28","9.68","1.7"
"JACOPO VITI","ECT2202 - ÁLGEBRA LINEAR","5","46N34 (11/02/2019 - 29/06/2019)","35","9.7","1.77"
"JAZIELLI CARVALHO SA","ECT2306 - MEIO AMBIENTE E DESENVOLVIMENTO URBANO","5","35N12 (11/02/2019 - 29/06/2019)","71","9.46","1.62"
"JAZIELLI CARVALHO SA","ECT1563 - POLÍTICA, PLANEJAMENTO E GESTÃO EM SANEAMENTO","1","3T3456 5T34 (11/02/2019 - 29/06/2019)","10","9.14","1.8"
"JEFFERSON SOARES DA COSTA","ECT2102 - VETORES E GEOMETRIA ANALÍTICA","4","25N12 (11/02/2019 - 29/06/2019)","95","8.87","2.42"
"JEFFERSON SOARES DA COSTA","ECT2102 - VETORES E GEOMETRIA ANALÍTICA","7","25T56 (11/02/2019 - 29/06/2019)","114","8.93","2.18"
"JOAO RODRIGO SOUZA LEAO","ECT2304 - INTRODUÇÃO À FÍSICA CLÁSSICA II","1","35M34 (11/02/2019 - 29/06/2019)","18","9.65","1.6"
"JOAO RODRIGO SOUZA LEAO","ECT2304 - INTRODUÇÃO À FÍSICA CLÁSSICA II","3","35M56 (11/02/2019 - 29/06/2019)","11","9.63","1.94"
"JOAO VITAL DA CUNHA JUNIOR","ECT2207 - PROBABILIDADE E ESTATÍSTICA","3","24N12 (11/02/2019 - 29/06/2019)","70","8.39","2.47"
"JOAO VITAL DA CUNHA JUNIOR","ECT2207 - PROBABILIDADE E ESTATÍSTICA","4","24N34 (11/02/2019 - 29/06/2019)","42","8.27","2.82"
"JOILSON BATISTA DE ALMEIDA REGO","ECT2401 - COMPUTAÇÃO NUMÉRICA","03A","6T34 24N34 (11/02/2019 - 15/06/2019)","10","9.2","2.34"
"JOILSON BATISTA DE ALMEIDA REGO","ECT2401 - COMPUTAÇÃO NUMÉRICA","03B","6T56 24N34 (11/02/2019 - 15/06/2019)","12","9.51","1.61"
"JOILSON BATISTA DE ALMEIDA REGO","ECT2401 - COMPUTAÇÃO NUMÉRICA","03D","7M34 24N34 (11/02/2019 - 15/06/2019)","11","9.52","1.41"
"JOILSON BATISTA DE ALMEIDA REGO","ECT2401 - COMPUTAÇÃO NUMÉRICA","04A","6T34 24N12 (11/02/2019 - 15/06/2019)","23","9.74","1.9"
"JOILSON BATISTA DE ALMEIDA REGO","ECT2401 - COMPUTAÇÃO NUMÉRICA","04B","6T56 24N12 (11/02/2019 - 15/06/2019)","26","9.69","1.59"
"JOILSON BATISTA DE ALMEIDA REGO","ECT2401 - COMPUTAÇÃO NUMÉRICA","04C","7M12 24N12 (11/02/2019 - 15/06/2019)","10","9.54","2.04"
"JOILSON BATISTA DE ALMEIDA REGO","ECT2401 - COMPUTAÇÃO NUMÉRICA","04D","7M34 24N12 (11/02/2019 - 15/06/2019)","14","8.15","1.79"
"JORGE CARLOS LOPES BRAS SILVA PEREIRA","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","02A","46T56 (11/02/2019 - 10/03/2019), 3M34 46T56 (11/03/2019 - 27/04/2019), 46T56 (28/04/2019 - 08/06/2019)","17","9.77","1.78"
"JORGE CARLOS LOPES BRAS SILVA PEREIRA","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","02B","46T56 (11/02/2019 - 10/03/2019), 3M56 46T56 (11/03/2019 - 27/04/2019), 46T56 (28/04/2019 - 08/06/2019)","20","9.94","1.38"
"JORGE CARLOS LOPES BRAS SILVA PEREIRA","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","02C","46T56 (11/02/2019 - 10/03/2019), 3T12 46T56 (11/03/2019 - 27/04/2019), 46T56 (28/04/2019 - 08/06/2019)","25","9.83","2.01"
"JORGE CARLOS LOPES BRAS SILVA PEREIRA","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","02D","46T56 (11/02/2019 - 10/03/2019), 46T56 5T12 (11/03/2019 - 27/04/2019), 46T56 (28/04/2019 - 08/06/2019)","21","9.14","2.52"
"JORGE CARLOS LOPES BRAS SILVA PEREIRA","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","03A","46N34 (11/02/2019 - 10/03/2019), 7M34 46N34 (11/03/2019 - 27/04/2019), 46N34 (28/04/2019 - 08/06/2019)","17","10","1.22"
"JORGE CARLOS LOPES BRAS SILVA PEREIRA","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","03B","46N34 (11/02/2019 - 10/03/2019), 7M56 46N34 (11/03/2019 - 27/04/2019), 46N34 (28/04/2019 - 08/06/2019)","18","9.75","1.53"
