"Docente","Componente Curricular","Turma","Horário","Discentes","Média Geral","Desvio Padrão Geral"
"NEEMIAS ALVES DE LIMA","ECT2304 - INTRODUÇÃO À FÍSICA CLÁSSICA II","5","46N34 (30/07/2018 - 22/12/2018)","28","9.59","1.81"
"ORIVALDO VIEIRA DE SANTANA JUNIOR","ECT2203 - LÓGICA DE PROGRAMAÇÃO","03A","24M56 4T34 (30/07/2018 - 01/12/2018)","29","9.82","1.41"
"ORIVALDO VIEIRA DE SANTANA JUNIOR","ECT2203 - LÓGICA DE PROGRAMAÇÃO","03B","24M56 4T34 (30/07/2018 - 01/12/2018)","27","9.65","1.45"
"ORIVALDO VIEIRA DE SANTANA JUNIOR","ECT2203 - LÓGICA DE PROGRAMAÇÃO","03C","24M56 4T56 (30/07/2018 - 01/12/2018)","28","9.82","1.62"
"ORIVALDO VIEIRA DE SANTANA JUNIOR","ECT2203 - LÓGICA DE PROGRAMAÇÃO","03D","24M56 4T56 (30/07/2018 - 01/12/2018)","20","9.7","1.89"
"ORIVALDO VIEIRA DE SANTANA JUNIOR","ECT2702 - TÓPICOS AVANÇADOS EM INFORMÁTICA I","01A","24N12 (30/07/2018 - 22/12/2018)","25","9.86","1.37"
"PATRICIA KAORI SOARES","ECT2104 - QUÍMICA GERAL","01A","2M12 25T34 (30/07/2018 - 22/12/2018)","9","9.73","1.54"
"PATRICIA KAORI SOARES","ECT2104 - QUÍMICA GERAL","01B","2M34 25T34 (30/07/2018 - 22/12/2018)","21","9.48","2.15"
"PATRICIA KAORI SOARES","ECT2104 - QUÍMICA GERAL","01C","2M56 25T34 (30/07/2018 - 22/12/2018)","24","9.29","1.81"
"PATRICIA KAORI SOARES","ECT2104 - QUÍMICA GERAL","01D","3M12 25T34 (30/07/2018 - 22/12/2018)","23","9.53","1.68"
"PATRICIA KAORI SOARES","ECT2104 - QUÍMICA GERAL","01E","3M34 25T34 (30/07/2018 - 22/12/2018)","26","9.51","2.16"
"PAULO DANTAS SESION JUNIOR","ECT2415 - EQUAÇÕES DIFERENCIAIS","1","24M56 (30/07/2018 - 15/12/2018)","10","9.49","1.47"
"PAULO HENRIQUE SOUSA DE OLIVEIRA","ECT2102 - VETORES E GEOMETRIA ANALÍTICA","2","36T34 (30/07/2018 - 15/12/2018)","130","6.91","3.12"
"PAULO HENRIQUE SOUSA DE OLIVEIRA","ECT2102 - VETORES E GEOMETRIA ANALÍTICA","7","36T12 (30/07/2018 - 22/12/2018)","121","8.37","2.55"
"PEDRO DA CUNHA FERREIRA","ECT2403 - FÍSICA EXPERIMENTAL II","03A","5T234 (13/08/2018 - 10/11/2018)","28","9.75","1.73"
"PEDRO DA CUNHA FERREIRA","ECT2403 - FÍSICA EXPERIMENTAL II","04A","6T234 (13/08/2018 - 24/11/2018)","28","9.7","1.76"
"PEDRO DA CUNHA FERREIRA","ECT2204 - INTRODUÇÃO À FÍSICA CLÁSSICA I","1","46M34 (30/07/2018 - 22/12/2018)","99","9.53","1.85"
"RAFAEL CHAVES SOUTO ARAUJO","FIS0625 - FISICA QUANTICA II","1","35M34","8","9.32","2.31"
"RAFAEL CHAVES SOUTO ARAUJO","ECT2304 - INTRODUÇÃO À FÍSICA CLÁSSICA II","2","46T34 (30/07/2018 - 22/12/2018)","50","9.04","2.2"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2401 - COMPUTAÇÃO NUMÉRICA","01C","2M56 24T12 (30/07/2018 - 01/12/2018)","27","9.14","2.53"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2401 - COMPUTAÇÃO NUMÉRICA","01D","2M56 24T12 (30/07/2018 - 01/12/2018)","29","9.43","1.9"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2401 - COMPUTAÇÃO NUMÉRICA","03D","7M56 35N34 (30/07/2018 - 01/12/2018)","14","9.89","1.65"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2401 - COMPUTAÇÃO NUMÉRICA","04D","7M56 35N12 (30/07/2018 - 01/12/2018)","23","9.77","1.58"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04A","3T34 35N34 (30/07/2018 - 22/12/2018)","5","9.9","0.68"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04B","3T56 35N34 (30/07/2018 - 22/12/2018)","24","9.38","2.2"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04C","7M34 35N34 (30/07/2018 - 22/12/2018)","14","9.88","1.38"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04D","7M56 35N34 (30/07/2018 - 22/12/2018)","14","9.81","1.23"
"RAQUEL MENEZES BEZERRA SAMPAIO","ECT2207 - PROBABILIDADE E ESTATÍSTICA","2","35M56 (30/07/2018 - 15/12/2018)","69","9.32","2.47"
"REX ANTONIO DA COSTA MEDEIROS","ECT2401 - COMPUTAÇÃO NUMÉRICA","02A","246M34 (30/07/2018 - 01/12/2018)","11","9.54","1.27"
